Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
"Tecno Spark 10 5G, 6.6"", 256GB+8GB RAM (8GB RAM Extended), 5000mAh, Meta Blue",,18899.0,,0,0,1.25,Low
"Tecno Spark 10 Pro, 6.8"", 128GB+8GB,(Dual SIM),5000mAh,Starry Black",,22499.0,,0,0,1.25,Low
"Tecno Pop 7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black (1YR WRTY)",,10599.0,,0,0,1.25,Low
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black",,15034.0,,0,0,1.25,Low
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM, 50MP Camera, 5000mAh, Blue (1YR WRTY)",,19299.0,,0,0,1.25,Low
"Tecno Spark 10 Pro, 6.8"", 128GB+8GB,(Dual SIM),5000mAh,Pearl White",,18623.0,,0,0,1.25,Low
"Tecno POP 8,6.6"",4GB RAM+128GB ROM, Android 13,Dual Sim, 5000mAh- White (1YR WRTY)",,12999.0,,0,0,1.25,Low
"Tecno POP 8, 6.6"", 3GB RAM + 64GB, 13MP, 4G,Android 13,5000MAh - Gravity Black (1YR WRTY)",,11599.0,,0,0,1.25,Low
"Tecno Spark 20 Pro 6.78"" 256GB ROM + 8GB RAM (8GB RAM Extended) 108MP Ultra Sensing Camera 5000mAh Dual Sim-Magic Skin Green",,26999.0,,0,0,1.25,Low
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Cyber White (1YR WRTY)",,19299.0,,0,0,1.25,Low
"Tecno Phantom X2, 6.8"", 256GB+ 8GB (Dual SIM), 5160mAh, 5G - Stardust Gray",,57999.0,,0,0,1.25,Low
Hisense WSQB753W - 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),,22699.0,,0,0,1.25,Low
"Roch RMW-20PX7H-B(B) Microwave Oven, 700W, 20L – Black (1YR WRTY)",,8999.0,,0,0,1.25,Low
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),,45316.0,,0,0,1.25,Low
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),,20695.0,,0,0,1.25,Low
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),,779.0,,0,0,1.25,Low
